tilt	key_resp.keys	key_resp.corr		HIT	MISS	FA	CR													
0	up	1		1											Respond YES	Respond NO				
-2	up	0				1								signal present	Hit	Miss				
1	down	1		1										signal absent	False Alarm	Correct Rejection		prop hit = hit/hit+miss		
0	up	1		1														prp fa= fa/fa+corr rej		
-5	down	1					1								Respond Yes	Respond NO				
2	down	1					1							signal present				d-prime= z(prop hit)- z(prop fa)		
-2	up	0				1								signal absent				c= -((z(prop hit)+ z(prop fa))/2)		
2	up	0				1														
0	up	1		1																
4	down	1					1													
0	up	1		1																
-3	down	1					1													
-2	down	1					1													
3	up	0				1														
-3	down	1					1													
-5	down	1					1													
-3	down	1					1													
0	up	1		1																
-5	down	1					1													
0	up	1		1																
4	down	1					1													
0	up	1		1																
0	up	1		1																
2	down	1					1													
0	up	1		1																
3	down	1					1													
0	up	1		1																
0	down	0			1															
0	up	1		1																
0	down	0			1															
0	up	1		1																
1	down	1					1													
0	down	0			1															
1	up	0		1																
4	down	1					1													
0	up	1		1																
-5	down	1					1													
0	up	1		1																
0	up	1		1																
0	up	1		1																
0	down	0			1															
0	down	0			1															
0	down	0			1															
0	down	0			1															
0	down	0			1															
0	down	0			1															
-4	down	1					1													
-5	up	0				1														
4	down	1					1													
0	down	0			1															
2	down	1					1													
-3	down	1					1													
0	up	1		1																
0	up	1		1																
-5	down	1					1													
0	down	0			1															
-4	down	1					1													
0	down	0			1															
4	down	1					1													
0	up	1		1																
-5	down	1					1													
4	down	1					1													
3	down	1					1													
3	down	1					1													
3	down	1					1													
0	down	0			1															
4	down	1					1													
4	down	1					1													
1	down	1					1													
4	down	1					1													
2	down	1					1													
-4	up	0				1														
-4	up	0				1														
0	up	1		1																
-4	down	1					1													
4	up	0				1														
4	down	1					1													
0	up	1		1																
0	up	1		1																
4	down	1					1													
3	up	0				1														
3	up	0				1														
0	down	0			1															
0	down	0			1															
-5	down	1					1													
2	down	1					1													
3	down	1					1													
2	down	1					1													
4	down	1					1													
0	up	1		1																
0	up	1		1																
0	up	1		1																
-4	down	1					1													
-3	down	1					1													
-3	down	1					1													
0	down	0			1															
0	down	0			1															
-4	down	1					1													
0	up	1		1																
0	down	0			1															
			SUM=	28	18	10	44		Total=	100										
																				
				prop hit=	0.608695652															
				prop fa=	0.185185185															
																				
				D-prime=	1.171700882															
				C-value=	0.309929378	" The response is YES, thus making the bias LIBERAL."														
